XPath,1.21.xml,154.21.xml,155.21.xml,161.21.xml,164.23.xml,166.21.xml,167.21.xml,176.21.xml,177.22.xml,178.21.xml,179.21.xml,180.21.xml,181.21.xml,182.21.xml,183.21.xml,2.21.xml,221.21.xml,241.21.xml,3.22.xml,303.22.xml,384.19.xml,385.19.xml,386.19.xml,387.19.xml,388.19.xml,389.19.xml,392.20.xml,4.21.xml,453.22.xml,477.20.xml,5.24.xml,570.12.xml,571.10.xml,576.10.xml,580.14.xml,581.15.xml,582.12.xml,583.12.xml
/eml:eml/dataset/creator/address/administrativeArea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0
/eml:eml/dataset/creator/address/city,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0
/eml:eml/dataset/creator/address/country,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/address/deliveryPoint,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0
/eml:eml/dataset/creator/address/postalCode,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0
/eml:eml/dataset/creator/electronicMailAddress,8.0,6.0,8.0,8.0,6.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,10.0,12.0,8.0,10.0,10.0,12.0,12.0
/eml:eml/dataset/creator/individualName/givenName,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,7.0,9.0,5.0,7.0,7.0,9.0,9.0
/eml:eml/dataset/creator/individualName/surName,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0
/eml:eml/dataset/creator/onlineUrl,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0
/eml:eml/dataset/creator/organizationName,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0
/eml:eml/dataset/creator/phone/@phonetype,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/positionName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0
/eml:eml/dataset/dataTable/attributeList,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,10.0,7.0,7.0,7.0,8.0,11.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,18.0,7.0,10.0,8.0,10.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,11.0,14.0,7.0,10.0,10.0,14.0,10.0,11.0,10.0,12.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,10.0,7.0,7.0,7.0,10.0,16.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,18.0,7.0,10.0,8.0,10.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,11.0,14.0,7.0,10.0,10.0,14.0,10.0,11.0,10.0,12.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,10.0,7.0,7.0,7.0,10.0,16.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,18.0,7.0,10.0,8.0,10.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,11.0,14.0,7.0,10.0,10.0,14.0,10.0,11.0,10.0,12.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,3.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,3.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,1.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,0.0,2.0,3.0,10.0,10.0,2.0,7.0,11.0,10.0,12.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
