XPath,179.11.xml,179.13.xml,179.15.xml,179.16.xml,179.4.xml,179.9.xml
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/coverage/temporalCoverage,0.0,1.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/singleDateTime/calendarDate,0.0,1.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/creator,20.0,20.0,20.0,20.0,20.0,20.0
/eml:eml/dataset/creator/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/creator/address/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/creator/address/administrativeArea,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/address/city,3.0,3.0,3.0,3.0,3.0,3.0
/eml:eml/dataset/creator/address/country,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/address/deliveryPoint,5.0,5.0,5.0,5.0,5.0,5.0
/eml:eml/dataset/creator/address/postalCode,4.0,4.0,4.0,4.0,4.0,4.0
/eml:eml/dataset/creator/electronicMailAddress,10.0,10.0,10.0,10.0,10.0,10.0
/eml:eml/dataset/creator/individualName/givenName,10.0,10.0,10.0,10.0,10.0,10.0
/eml:eml/dataset/creator/individualName/salutation,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/individualName/surName,10.0,10.0,10.0,10.0,10.0,10.0
/eml:eml/dataset/creator/phone,8.0,8.0,8.0,8.0,8.0,8.0
/eml:eml/dataset/creator/phone/@phonetype,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/userId,5.0,5.0,5.0,5.0,0.0,5.0
/eml:eml/dataset/creator/userId/@directory,1.0,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/intellectualRights,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/intellectualRights/section/para,5.0,5.0,5.0,5.0,5.0,5.0
/eml:eml/dataset/intellectualRights/section/para/emphasis,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/intellectualRights/section/para/orderedlist/listitem/para,6.0,6.0,6.0,6.0,6.0,6.0
/eml:eml/dataset/intellectualRights/section/title,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/keywordSet/keyword,4.0,4.0,4.0,4.0,4.0,4.0
/eml:eml/dataset/keywordSet/keyword/@keywordType,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/keywordSet/keywordThesaurus,1.0,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/maintenance,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/maintenance/description/para,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/maintenance/maintenanceUpdateFrequency,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/administrativeArea,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/city,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/country,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/deliveryPoint,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/address/postalCode,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/onlineUrl,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/organizationName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/phone,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/metadataProvider/phone/@phonetype,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/methods,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/methods/methodStep/description/para,6.0,6.0,6.0,6.0,6.0,6.0
/eml:eml/dataset/otherEntity/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/otherEntity/entityDescription,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/otherEntity/entityName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/otherEntity/entityType,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/otherEntity/physical/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/otherEntity/physical/characterEncoding,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/otherEntity/physical/dataFormat/externallyDefinedFormat/formatName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/otherEntity/physical/distribution/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/otherEntity/physical/distribution/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/otherEntity/physical/distribution/access/@order,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/otherEntity/physical/distribution/access/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/otherEntity/physical/distribution/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/otherEntity/physical/distribution/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/otherEntity/physical/distribution/online/url,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/otherEntity/physical/distribution/online/url/@function,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/otherEntity/physical/objectName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/pubDate,0.0,2.0,2.0,2.0,0.0,0.0
/eml:eml/dataset/pubPlace,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/publisher,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/publisher/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/publisher/address/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/publisher/address/administrativeArea,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/publisher/address/city,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/publisher/address/country,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/publisher/address/deliveryPoint,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/publisher/address/postalCode,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/publisher/onlineUrl,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/publisher/organizationName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/publisher/phone,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/publisher/phone/@phonetype,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/title,2.0,2.0,2.0,2.0,2.0,2.0
